booking_date,arrival_date,departure_date,length_of_stay,num_guests,room_type,guest_type,purpose_of_visit,loyalty_program,previous_cancellations,reservation_status,deposit_type,total_cost,payment_method,hotel_type,number_of_rooms,facilities,lead_time,seasonality,cancellation_date,reason_for_cancellation,lead_time_at_cancellation,guest_age,guest_nationality,property_rating,distance_to_attractions,day_of_week,time_of_day_booking,time_of_day_cancellation,gdp,inflation_rate,presence_of_event,event_date,temperature,precipitation,competitor_price
2024-04-18,2024-05-13,2024-05-17,4,3,single,group,other,True,0.04419307588268362,['checkout'],credit_card,10353.782022665706,cash,city hotel,3,"['gym', 'restaurant']",25,May,,,,69,GEO,3,2.057630428694442,Monday,21:55:09,10:05:53,3709.8051023001462,0.013694880570878164,True,2024-05-02,38.08219793801076,light,10353.782022665706
2024-04-04,2024-04-18,2024-04-22,4,1,suite,group,other,True,3.417240145759688,['cancelled'],credit_card,3739.165961859177,credit_card,motel,1,"['parking', 'parking']",14,April,,,,20,SLB,4,1.258123271936211,Thursday,11:40:01,08:28:39,5617.990637004373,0.02787019648281891,False,2024-05-16,3.7757322580535337,heavy,3739.165961859177
2024-04-20,2024-04-25,2024-05-01,6,3,suite,individual,other,False,19.22457288217664,['cancelled'],no_deposit,5287.116874653637,debit_card,motel,1,['wifi'],5,April,,,,72,LSO,3,7.085723224085774,Thursday,04:29:09,16:41:53,2795.679534823227,0.04143646360437413,False,2024-05-19,11.280729002643426,none,5287.116874653637
2024-04-13,2024-05-12,2024-05-22,10,4,double,corporate,business,False,11.05645928134054,['checkout'],cash,14091.675116124263,cash,city hotel,4,['business center'],29,May,,,,24,TUN,4,9.614534640250255,Sunday,06:59:56,09:21:32,1909.2443449757957,0.04999937755890173,False,2024-05-04,46.271364768711216,moderate,14091.675116124263
2024-03-23,2024-04-08,2024-04-15,7,4,double,group,business,False,11.34079740355338,['cancelled'],no_deposit,9374.456851064695,debit_card,city hotel,4,"['restaurant', 'gym', 'business center']",16,April,,,,45,FRA,1,1.8676556906622304,Monday,20:46:08,19:28:34,1008.9238496096725,0.03399512108524947,True,2024-05-21,-8.852814057141115,heavy,9374.456851064695
2024-03-30,2024-04-02,2024-04-10,8,2,suite,corporate,business,False,10.269515337476882,['cancelled'],no_deposit,1858.230338541372,debit_card,resort,1,"['pool', 'restaurant']",3,April,,,,78,NRU,5,7.39685773131216,Tuesday,16:00:29,06:36:06,2610.897941296504,0.07345894764847286,True,2024-04-25,5.893684319241489,none,1858.230338541372
2024-04-13,2024-04-28,2024-05-06,8,4,single,individual,other,False,7.671280799208622,['cancelled'],no_deposit,16378.025413814947,credit_card,resort,4,"['gym', 'gym', 'restaurant', 'restaurant', 'kids club']",15,April,2024-04-18,financial reasons,5.0,62,SLV,3,8.189622810454727,Sunday,17:24:01,01:29:37,6345.384709446985,0.09982480956262278,False,2024-04-29,44.547307813308706,heavy,16378.025413814947
2024-04-01,2024-04-04,2024-04-08,4,1,single,corporate,business,True,7.76311774229804,['checkout'],cash,18560.21924379506,cash,motel,1,['wifi'],3,April,,,,31,STP,3,4.468418416693412,Thursday,06:57:50,14:03:48,1566.7991114379952,0.09933506977488457,True,2024-05-15,24.80645440807094,moderate,18560.21924379506
2024-04-14,2024-04-19,2024-04-25,6,3,double,individual,other,True,19.871846342513354,['cancelled'],credit_card,15298.897368436452,debit_card,resort,3,"['pool', 'pool']",5,April,,,,57,LUX,1,5.656876930204674,Friday,23:38:23,16:02:05,7203.9947353225325,0.07475566177145493,False,2024-05-08,-6.479531530668384,none,15298.897368436452
2024-04-20,2024-04-30,2024-05-02,2,3,suite,group,business,False,1.4841436557601995,['checkout'],no_deposit,3100.3451178023906,debit_card,city hotel,1,"['gym', 'restaurant']",10,April,2024-04-30,change of plans,10.0,33,HUN,4,5.208411783136149,Tuesday,02:50:41,10:45:52,8652.864048122869,0.07307454353706863,True,2024-04-22,37.149177841597776,none,3100.3451178023906
2024-04-10,2024-04-27,2024-05-03,6,4,suite,corporate,business,True,15.134528927969136,['checkout'],no_deposit,6877.291671065126,cash,resort,2,"['spa', 'spa', 'gym', 'gym']",17,April,,,,31,ZWE,1,3.8222604904135205,Saturday,16:44:24,09:33:55,2130.3143489741096,0.04057523400465196,True,2024-05-04,25.713337660229783,light,6877.291671065126
2024-03-28,2024-04-22,2024-04-24,2,1,suite,corporate,business,False,7.929897638426446,['cancelled'],credit_card,6935.45581300341,credit_card,motel,1,"['parking', 'parking']",25,April,,,,40,VCT,5,1.728073038174257,Monday,16:37:09,07:13:12,1581.818007827415,0.05793133531823973,True,2024-05-16,27.652119193780557,heavy,6935.45581300341
2024-04-15,2024-04-20,2024-04-24,4,3,suite,individual,business,True,19.087145481588415,['cancelled'],cash,12992.803267828514,credit_card,motel,1,['parking'],5,April,,,,79,USA,2,2.2110233667690466,Saturday,08:35:56,10:23:38,7227.392964701527,0.013749452534060834,False,2024-05-06,27.75680579558604,heavy,12992.803267828514
2024-04-03,2024-04-28,2024-05-04,6,4,double,individual,business,False,10.783487348935276,['checkout'],cash,8703.560110118644,cash,motel,4,['wifi'],25,April,,,,66,USA,5,7.220624304153208,Sunday,05:05:12,18:49:47,7147.392398214194,0.04157845964250965,True,2024-04-27,20.690902841252164,none,8703.560110118644
2024-04-18,2024-04-30,2024-05-07,7,1,double,corporate,business,False,18.208908844572797,['checkout'],no_deposit,15554.55409431602,debit_card,motel,1,['parking'],12,April,,,,30,SVK,2,7.499568348080234,Tuesday,00:13:17,20:09:25,7006.158391485043,0.05734748860467873,True,2024-05-07,1.8896119819320667,none,15554.55409431602
2024-04-03,2024-04-11,2024-04-13,2,1,suite,group,business,False,2.7863074577570246,['cancelled'],cash,13716.076630070958,credit_card,resort,1,"['pool', 'gym', 'spa', 'restaurant']",8,April,2024-04-13,financial reasons,10.0,73,BGR,3,2.047394868625169,Thursday,06:26:52,10:35:05,9314.136872290344,0.03652109106776969,False,2024-05-04,31.42659802826506,light,13716.076630070958
2024-04-03,2024-04-09,2024-04-19,10,3,double,corporate,business,True,17.591461457997795,['checkout'],cash,9081.859439504902,credit_card,city hotel,3,"['business center', 'gym']",6,April,,,,78,BDI,5,3.3179993102956904,Tuesday,09:06:33,18:24:42,8323.019916209763,0.013735689627976144,False,2024-05-11,-3.2920654687288575,heavy,9081.859439504902
2024-04-05,2024-04-19,2024-04-22,3,1,double,individual,business,False,11.14275400434224,['checkout'],credit_card,10938.200316854083,credit_card,city hotel,1,"['business center', 'restaurant', 'gym']",14,April,,,,39,SLB,3,9.53254880087259,Friday,08:01:17,05:52:20,6353.212512688289,0.029967329231909992,True,2024-05-11,-2.751613278867614,light,10938.200316854083
2024-04-21,2024-04-25,2024-05-04,9,1,double,corporate,business,False,16.30761330704417,['checkout'],cash,8542.75105529447,debit_card,resort,1,['gym'],4,April,,,,23,ZMB,1,5.944493025821264,Thursday,22:39:52,18:58:01,4549.435381367929,0.07596070168417464,False,2024-05-14,42.935373577245144,moderate,8542.75105529447
2024-04-01,2024-04-10,2024-04-19,9,1,single,group,business,False,3.3383295469674668,['checkout'],no_deposit,4329.415274219882,debit_card,city hotel,1,"['gym', 'restaurant', 'business center']",9,April,,,,32,NIC,4,8.069532656116383,Wednesday,05:18:50,06:59:39,6918.897127657504,0.047909019298288495,True,2024-05-17,16.065063893544767,heavy,4329.415274219882
2024-04-03,2024-04-04,2024-04-12,8,2,single,individual,business,False,11.318036809063624,['checkout'],no_deposit,6641.281404673076,credit_card,city hotel,2,['gym'],1,April,,,,80,QAT,3,9.496889578531013,Thursday,10:39:36,00:45:08,3865.351079439867,0.0874400350057951,False,2024-04-27,46.6417551755633,none,6641.281404673076
2024-03-27,2024-04-17,2024-04-21,4,4,single,corporate,business,False,10.713345319385201,['cancelled'],cash,11009.136546315734,debit_card,resort,4,"['pool', 'gym', 'spa', 'restaurant', 'pool']",21,April,,,,46,PAK,4,6.169215702803735,Wednesday,10:49:00,07:05:59,6068.826687169993,0.04644494845384754,True,2024-05-02,28.039907367801327,none,11009.136546315734
2024-03-31,2024-04-18,2024-04-26,8,4,single,corporate,business,False,16.55895470423374,['cancelled'],no_deposit,1557.7139737765865,debit_card,motel,4,['parking'],18,April,,,,35,LUX,4,6.897863297179712,Thursday,07:48:04,05:56:12,8921.137522582198,0.04464136518499193,False,2024-05-12,24.78346289942855,none,1557.7139737765865
2024-04-18,2024-05-16,2024-05-24,8,2,suite,group,leisure,True,8.193516806796968,['checkout'],cash,4242.9408331539,cash,motel,1,"['parking', 'parking']",28,May,,,,50,MYS,4,9.273638064254373,Thursday,23:09:14,20:17:36,4551.138714616978,0.09069760413074729,True,2024-04-26,14.741857980430904,light,4242.9408331539
2024-04-16,2024-04-24,2024-04-26,2,3,double,group,other,True,12.331271896646507,['checkout'],credit_card,5313.325684534326,debit_card,motel,3,"['parking', 'parking']",8,April,,,,19,ISR,4,6.482430742901051,Wednesday,02:23:41,04:05:54,2144.6286814209097,0.06727390844453641,False,2024-04-22,-9.286423201770873,heavy,5313.325684534326
2024-03-27,2024-04-14,2024-04-17,3,3,double,group,leisure,True,8.417858647408089,['cancelled'],credit_card,12605.778338028522,cash,city hotel,3,"['gym', 'gym']",18,April,,,,77,GUY,1,4.137131166191205,Sunday,01:39:28,00:32:58,2245.167358512867,0.05570623194285592,False,2024-05-06,29.58939500445905,light,12605.778338028522
2024-04-06,2024-04-16,2024-04-25,9,3,double,group,business,False,14.372638918310168,['checkout'],no_deposit,7130.721415319087,debit_card,resort,3,['spa'],10,April,,,,44,TUR,5,9.314712393792014,Tuesday,14:26:39,18:07:50,1632.0730692145337,0.08494251601850838,False,2024-04-30,16.595948518528523,light,7130.721415319087
2024-03-25,2024-04-16,2024-04-21,5,3,single,individual,other,True,4.399108307049344,['cancelled'],credit_card,8498.199649171689,debit_card,resort,3,"['pool', 'gym', 'restaurant', 'restaurant', 'kids club']",22,April,,,,65,MLT,1,7.987267492715657,Tuesday,12:41:17,17:30:20,4209.173288738495,0.029215484896610307,True,2024-05-07,30.74660314140803,none,8498.199649171689
2024-04-17,2024-05-17,2024-05-18,1,2,suite,individual,other,True,2.7980616484505583,['cancelled'],credit_card,1319.4397696618837,debit_card,city hotel,1,"['restaurant', 'gym', 'business center']",30,May,,,,63,VNM,4,4.9064012050748245,Friday,18:25:54,17:33:52,4337.152345383733,0.07975943001926096,False,2024-05-13,34.93417397548141,moderate,1319.4397696618837
2024-04-08,2024-05-06,2024-05-11,5,3,suite,corporate,business,True,10.22991314205397,['cancelled'],cash,5045.568900686067,cash,resort,1,"['restaurant', 'pool']",28,May,,,,21,TGO,1,3.536166427027123,Monday,02:54:02,01:11:37,9835.258039646806,0.08613106745279304,False,2024-05-13,19.572599316548246,moderate,5045.568900686067
2024-04-06,2024-04-24,2024-04-27,3,4,suite,individual,business,True,4.741858175186204,['cancelled'],no_deposit,4882.477587727133,cash,city hotel,2,"['gym', 'restaurant', 'gym']",18,April,2024-04-09,unforeseen circumstances,3.0,67,PER,3,9.684734370408954,Wednesday,03:05:57,21:03:47,7041.340503662392,0.03552206236262581,False,2024-05-20,8.491931680425271,none,4882.477587727133
2024-03-24,2024-04-02,2024-04-07,5,4,double,corporate,business,False,11.538679734875604,['cancelled'],credit_card,16976.66539018898,debit_card,resort,4,"['restaurant', 'gym', 'spa', 'kids club', 'spa']",9,April,2024-04-02,change of plans,9.0,59,HRV,3,4.932672319972159,Tuesday,16:58:54,18:58:10,3580.0435316673224,0.013795505540389233,True,2024-05-15,4.298668950929908,moderate,16976.66539018898
2024-04-10,2024-05-09,2024-05-18,9,4,suite,group,leisure,False,7.137889482466761,['cancelled'],credit_card,3330.4922514347295,credit_card,motel,2,['wifi'],29,May,,,,40,PRT,2,1.6611373029555654,Thursday,10:44:11,03:28:35,2277.1859890324527,0.019785662395603892,False,2024-05-09,5.454679705120586,moderate,3330.4922514347295
2024-04-10,2024-04-26,2024-05-01,5,1,suite,corporate,business,True,14.259581838524992,['checkout'],cash,11896.905869780116,debit_card,resort,1,"['pool', 'restaurant']",16,April,,,,40,ALB,4,9.407921770824961,Friday,02:51:11,06:58:11,3340.3312272502685,0.07754646505271014,True,2024-04-25,45.50009593433592,moderate,11896.905869780116
2024-04-14,2024-04-15,2024-04-16,1,3,suite,corporate,business,True,13.024059907759398,['checkout'],no_deposit,19259.172545048135,cash,motel,1,['parking'],1,April,,,,75,TGO,3,4.411044412897076,Monday,11:17:51,02:25:49,8555.59960331342,0.03535880488154028,False,2024-05-20,28.695023994855255,moderate,19259.172545048135
2024-04-12,2024-04-13,2024-04-22,9,1,single,individual,business,False,11.396735912129618,['checkout'],cash,12542.240456645268,cash,city hotel,1,['business center'],1,April,,,,80,GBR,5,5.762346414535265,Saturday,13:43:18,19:57:09,3171.572859010917,0.06823011068434022,False,2024-05-19,23.472082497784072,moderate,12542.240456645268
2024-04-06,2024-04-12,2024-04-19,7,2,single,corporate,business,False,9.13794989495642,['cancelled'],no_deposit,11932.032012097487,cash,city hotel,2,['business center'],6,April,2024-04-10,unforeseen circumstances,4.0,26,GRC,1,8.324748534006632,Friday,15:08:08,19:22:12,5843.097818632369,0.027501149272716227,True,2024-05-12,27.529366966134738,heavy,11932.032012097487
2024-04-20,2024-04-27,2024-05-02,5,3,double,individual,leisure,False,15.109889413940001,['cancelled'],credit_card,16515.648857765496,debit_card,resort,3,['restaurant'],7,April,,,,66,OMN,1,6.0741578382895085,Saturday,07:59:39,20:27:29,4609.245426655498,0.025804565924810785,False,2024-04-30,33.137211809475595,none,16515.648857765496
2024-04-11,2024-04-26,2024-05-02,6,3,suite,corporate,business,True,14.70944685156336,['checkout'],credit_card,7514.3799501239155,cash,motel,1,"['wifi', 'wifi']",15,April,,,,72,URY,5,8.731198595685088,Friday,02:41:33,02:36:01,9461.195461575382,0.07862460159336086,True,2024-05-03,26.106454615799862,light,7514.3799501239155
2024-04-03,2024-05-02,2024-05-12,10,1,single,individual,other,False,2.153865745284058,['cancelled'],credit_card,11995.984105764395,cash,motel,1,"['parking', 'wifi']",29,May,2024-04-06,financial reasons,3.0,50,BRN,5,1.6335637153086624,Thursday,11:31:36,23:38:08,8725.514505713958,0.05533061902830351,True,2024-05-21,4.7763820461342625,moderate,11995.984105764395
2024-04-16,2024-04-17,2024-04-21,4,4,double,corporate,business,False,12.356137225347677,['cancelled'],cash,9674.113103133624,credit_card,motel,4,['wifi'],1,April,,,,36,GUY,4,5.038758623765318,Wednesday,04:52:15,05:55:52,2192.629279957736,0.035723840694909303,False,2024-05-16,32.39432854761695,none,9674.113103133624
2024-03-27,2024-04-24,2024-04-25,1,4,suite,corporate,business,True,6.272601586173339,['cancelled'],cash,3720.695251402381,credit_card,city hotel,2,['gym'],28,April,,,,19,AUS,5,5.397584997109822,Wednesday,16:40:41,05:46:35,7800.430577045541,0.0971085556373305,False,2024-05-10,4.602485208809886,none,3720.695251402381
2024-03-30,2024-04-28,2024-05-01,3,3,suite,group,business,True,13.092010122768992,['checkout'],cash,9134.916558770223,debit_card,resort,1,"['restaurant', 'spa', 'spa', 'pool']",29,April,,,,55,BRB,1,1.7697694789262572,Sunday,11:56:08,21:04:06,1540.6659040312447,0.07758534369082368,True,2024-05-15,31.974585806283997,none,9134.916558770223
2024-04-05,2024-04-07,2024-04-14,7,1,suite,individual,business,True,10.105059239412968,['cancelled'],cash,8502.137109834312,credit_card,resort,1,['pool'],2,April,2024-04-09,change of plans,4.0,32,UZB,5,4.319838836405541,Sunday,20:14:35,10:17:33,4287.2863680378505,0.08971535425048043,True,2024-05-05,24.63149820684071,heavy,8502.137109834312
2024-03-29,2024-04-03,2024-04-11,8,1,double,individual,leisure,False,3.359523346087261,['cancelled'],no_deposit,17159.197499241895,cash,city hotel,1,"['restaurant', 'gym']",5,April,2024-04-03,unforeseen circumstances,5.0,36,HTI,2,2.5996169476881232,Wednesday,12:07:42,03:43:59,6084.273507908818,0.014337793531139703,False,2024-05-20,23.353015164392687,heavy,17159.197499241895
2024-04-21,2024-05-15,2024-05-21,6,4,single,group,other,False,19.019573598835425,['cancelled'],no_deposit,14417.18573964254,debit_card,motel,4,['wifi'],24,May,,,,57,CHE,3,0.824198769316078,Wednesday,10:32:27,03:22:09,9358.155859527727,0.07484349214145435,True,2024-05-09,9.620011707238007,light,14417.18573964254
2024-04-07,2024-04-11,2024-04-12,1,1,suite,group,business,True,18.612053558048814,['cancelled'],cash,17933.40781215564,credit_card,motel,1,"['wifi', 'parking']",4,April,,,,39,CPV,2,3.337838738952518,Thursday,18:20:29,06:38:31,2433.101280426276,0.04908534080727692,False,2024-04-26,22.34264304295553,moderate,17933.40781215564
2024-04-17,2024-04-29,2024-05-08,9,1,suite,corporate,business,False,1.8270174312915333,['cancelled'],cash,1985.127437327556,cash,resort,1,['restaurant'],12,April,2024-04-19,unforeseen circumstances,2.0,80,ITA,3,3.6143307006139964,Monday,13:46:39,14:08:16,4892.291812825053,0.05445837552982689,False,2024-05-19,11.489621069402684,moderate,1985.127437327556
2024-04-03,2024-05-01,2024-05-02,1,3,suite,corporate,business,False,3.211564547525114,['cancelled'],credit_card,15887.867091663695,debit_card,city hotel,1,"['business center', 'restaurant']",28,May,,,,72,ETH,5,8.85041690522929,Wednesday,18:21:37,10:55:53,1509.3655254797513,0.04884172307542208,False,2024-04-29,0.04092824393438832,none,15887.867091663695
2024-04-19,2024-05-01,2024-05-10,9,2,double,individual,other,True,14.16261959208962,['checkout'],credit_card,14014.733007367046,cash,city hotel,2,"['restaurant', 'restaurant']",12,May,,,,18,VAT,3,8.752807311872616,Wednesday,21:59:57,16:10:40,8408.148610256783,0.043319285440288686,False,2024-05-05,33.9561440952734,heavy,14014.733007367046
2024-04-17,2024-04-24,2024-04-27,3,3,double,corporate,business,False,14.765169919050232,['checkout'],no_deposit,6085.857755674874,cash,resort,3,"['kids club', 'gym', 'gym', 'kids club']",7,April,,,,49,MLT,3,9.318487998156005,Wednesday,13:09:40,02:51:09,1203.253553963493,0.030457792121680247,True,2024-05-12,37.130245167134944,none,6085.857755674874
2024-03-28,2024-04-08,2024-04-18,10,2,double,corporate,business,True,12.175512004660593,['cancelled'],credit_card,18461.597653622448,cash,city hotel,2,"['gym', 'restaurant']",11,April,,,,24,RUS,4,5.97002012470377,Monday,03:10:37,19:56:42,3048.4952986751914,0.08545200556974052,True,2024-04-22,20.407044195967458,light,18461.597653622448
2024-04-07,2024-05-06,2024-05-07,1,2,double,corporate,business,False,12.337431301573154,['checkout'],no_deposit,8401.391380289919,cash,resort,2,"['restaurant', 'pool', 'spa', 'gym', 'pool']",29,May,2024-04-17,unforeseen circumstances,10.0,47,BGD,3,5.869421219124424,Monday,10:13:37,17:28:54,9159.485538637175,0.09621190312318106,True,2024-05-07,35.388915120853284,light,8401.391380289919
2024-04-06,2024-04-28,2024-05-03,5,3,suite,group,leisure,True,13.021681717573554,['checkout'],cash,13784.018216004419,debit_card,resort,1,['pool'],22,April,2024-04-14,unforeseen circumstances,8.0,55,VEN,3,9.873448070700444,Sunday,03:04:31,09:05:09,2070.536964215872,0.0940008713629564,False,2024-05-21,-8.939803567894181,moderate,13784.018216004419
2024-04-20,2024-05-14,2024-05-22,8,1,double,individual,leisure,False,14.017685842134451,['cancelled'],no_deposit,6772.077134951197,cash,city hotel,1,['business center'],24,May,,,,66,TKM,2,8.85466107239785,Tuesday,01:07:56,00:16:43,2563.8840494203578,0.030437658339868605,False,2024-05-14,39.65489071566127,heavy,6772.077134951197
2024-04-01,2024-04-15,2024-04-20,5,3,single,corporate,business,True,13.105519270300697,['checkout'],credit_card,2593.5097904211952,cash,city hotel,3,['restaurant'],14,April,2024-04-03,change of plans,2.0,47,EGY,3,6.084093124619073,Monday,22:00:23,17:46:32,7387.177676950433,0.057982067871708155,False,2024-04-29,34.320842122105574,none,2593.5097904211952
2024-04-01,2024-04-10,2024-04-17,7,3,double,individual,leisure,False,1.4446177284121986,['cancelled'],credit_card,10952.339543754624,cash,city hotel,3,"['restaurant', 'business center']",9,April,,,,59,ZAF,5,2.79082879930364,Wednesday,18:31:39,17:14:50,5671.435022775181,0.06300081260512172,False,2024-04-30,5.306627069125531,light,10952.339543754624
2024-04-05,2024-04-17,2024-04-20,3,3,double,corporate,business,True,0.6348106900576922,['checkout'],no_deposit,3312.107944880689,debit_card,city hotel,3,"['business center', 'gym']",12,April,2024-04-06,unforeseen circumstances,1.0,48,SVK,1,2.185307535118104,Wednesday,21:29:25,14:28:10,1446.122371530667,0.09369120964367447,False,2024-04-23,19.294824461458095,none,3312.107944880689
2024-03-26,2024-04-07,2024-04-14,7,1,single,corporate,business,False,17.430594177893518,['checkout'],credit_card,16094.253375957347,cash,motel,1,"['parking', 'parking']",12,April,,,,76,LBR,2,0.3884444092071553,Sunday,16:19:33,13:12:01,5042.279062582704,0.04484094425419882,True,2024-05-21,15.524615963855851,none,16094.253375957347
2024-04-04,2024-04-27,2024-05-01,4,2,double,individual,leisure,True,19.310735923663714,['cancelled'],cash,5718.64673104947,debit_card,resort,2,"['restaurant', 'pool', 'restaurant']",23,April,,,,37,VNM,2,3.9822467262020247,Saturday,23:17:49,23:55:04,1021.0016370758476,0.05372155788263238,False,2024-05-10,30.504435449380374,heavy,5718.64673104947
2024-03-30,2024-04-27,2024-04-30,3,4,single,individual,other,True,2.319352816513953,['checkout'],no_deposit,3347.3870809936493,debit_card,resort,4,"['pool', 'kids club', 'restaurant']",28,April,,,,80,ITA,3,2.5008448298819372,Saturday,06:05:12,00:14:39,4139.462465629807,0.04143658424833875,True,2024-04-24,30.160466690556028,moderate,3347.3870809936493
2024-04-10,2024-04-19,2024-04-20,1,4,single,group,leisure,False,9.92857298011927,['cancelled'],credit_card,4828.950667875883,cash,resort,4,"['gym', 'kids club', 'pool', 'pool', 'restaurant']",9,April,,,,63,MRT,2,5.966369699363283,Friday,08:48:34,01:21:58,7843.666188488436,0.0845459026164955,False,2024-05-15,18.52728704246737,none,4828.950667875883
2024-04-19,2024-05-19,2024-05-21,2,4,double,individual,business,True,17.443525740077092,['checkout'],no_deposit,14378.831074586813,credit_card,resort,4,"['spa', 'pool', 'restaurant']",30,May,2024-04-27,unforeseen circumstances,8.0,75,GRC,4,6.6540880560502185,Sunday,09:28:45,21:36:21,3321.564631069762,0.055077200778792954,True,2024-05-14,19.307692494728215,heavy,14378.831074586813
2024-04-07,2024-04-30,2024-05-05,5,3,double,individual,other,True,5.268999296838506,['checkout'],credit_card,14252.831823079725,credit_card,city hotel,3,"['business center', 'restaurant']",23,April,,,,76,LSO,3,9.95229832402416,Tuesday,10:15:49,13:09:17,8835.823804725673,0.08491696677987941,False,2024-05-06,23.322724403266264,none,14252.831823079725
2024-04-12,2024-04-24,2024-04-26,2,1,double,corporate,business,True,5.105536219983458,['cancelled'],cash,12480.289691925629,debit_card,motel,1,['parking'],12,April,2024-04-15,unforeseen circumstances,3.0,54,BDI,1,7.964642838555208,Wednesday,03:09:14,18:52:25,1808.7109647835953,0.07749186615211849,False,2024-05-17,-9.873517076651257,heavy,12480.289691925629
2024-04-07,2024-04-17,2024-04-23,6,1,suite,individual,business,False,10.311142180289263,['cancelled'],no_deposit,17169.853678061976,cash,city hotel,1,['restaurant'],10,April,,,,80,TLS,4,7.6773258065952295,Wednesday,10:52:09,12:23:25,4219.963578320496,0.09139112370357505,False,2024-05-06,23.26885691771421,moderate,17169.853678061976
2024-04-19,2024-04-23,2024-05-02,9,3,suite,group,business,True,8.505100514144214,['cancelled'],cash,19397.6613269635,cash,resort,1,"['gym', 'kids club', 'gym']",4,April,,,,59,SDN,5,3.150128237905706,Tuesday,17:20:11,23:37:33,9102.305095613,0.01977726792929935,False,2024-05-03,6.116457436259196,light,19397.6613269635
2024-04-13,2024-05-06,2024-05-12,6,3,single,individual,business,False,1.592973071453181,['checkout'],credit_card,15464.95103040156,cash,motel,3,"['parking', 'wifi']",23,May,2024-04-17,financial reasons,4.0,34,PSE,3,7.938444077204174,Monday,23:31:35,19:47:35,5392.042020165099,0.07230988215091287,True,2024-05-20,-3.935269350538057,light,15464.95103040156
2024-03-28,2024-04-04,2024-04-08,4,2,single,group,business,False,13.987135748803643,['checkout'],no_deposit,8466.09968086579,debit_card,resort,2,"['kids club', 'pool', 'pool', 'kids club']",7,April,,,,33,HRV,3,8.279155707349478,Thursday,22:24:42,17:00:16,2831.2884372169747,0.09506670855727115,True,2024-05-21,-5.98040829326805,moderate,8466.09968086579
2024-04-08,2024-04-23,2024-05-02,9,4,double,individual,business,False,6.498903648561121,['cancelled'],cash,7526.982525823414,credit_card,resort,4,"['pool', 'pool']",15,April,2024-04-14,unforeseen circumstances,6.0,79,MEX,3,0.8093754995999828,Tuesday,20:57:06,03:22:37,2422.962824581919,0.07825454096295426,False,2024-04-28,44.36648023483557,moderate,7526.982525823414
2024-04-12,2024-04-20,2024-04-24,4,4,suite,corporate,business,True,18.96697388181295,['checkout'],no_deposit,1131.3164705302784,debit_card,resort,2,"['restaurant', 'spa', 'spa', 'pool']",8,April,,,,19,AGO,1,3.488834353482397,Saturday,23:43:35,14:32:13,5036.982971667986,0.047689341670183585,False,2024-05-13,13.093479872368597,heavy,1131.3164705302784
2024-04-20,2024-04-24,2024-05-02,8,2,suite,group,leisure,False,14.062189164531851,['cancelled'],no_deposit,6836.490706929348,debit_card,resort,1,"['restaurant', 'kids club', 'spa', 'restaurant']",4,April,,,,40,JAM,5,8.23704375724832,Wednesday,22:13:06,13:50:11,2077.440305659437,0.08692559855372348,True,2024-04-27,6.489919605598956,none,6836.490706929348
2024-04-03,2024-04-22,2024-04-29,7,3,double,individual,business,False,5.399997240333246,['cancelled'],credit_card,16465.268313773926,cash,resort,3,"['kids club', 'spa', 'pool', 'kids club', 'pool']",19,April,,,,45,VUT,3,0.7265093031428405,Monday,04:18:02,22:38:27,6349.899521895308,0.09035746610672137,True,2024-04-25,2.5781691401770495,moderate,16465.268313773926
2024-03-24,2024-04-09,2024-04-13,4,4,single,individual,leisure,True,11.349706606027063,['cancelled'],no_deposit,18831.242246315047,credit_card,motel,4,['parking'],16,April,,,,69,FSM,4,2.9782660364482805,Tuesday,12:13:28,10:34:12,3778.2685657851785,0.06636273345342118,True,2024-04-23,40.58483018656541,moderate,18831.242246315047
2024-03-31,2024-04-03,2024-04-08,5,2,suite,individual,leisure,False,13.094073580017632,['checkout'],credit_card,2604.8164918024277,debit_card,resort,1,"['gym', 'gym']",3,April,,,,40,IRL,4,1.0560548801834386,Wednesday,12:23:03,23:19:51,4239.184136962474,0.05591020334082745,False,2024-04-22,29.320774791641085,moderate,2604.8164918024277
2024-04-13,2024-05-06,2024-05-09,3,4,single,individual,other,False,2.336118964765983,['checkout'],no_deposit,13437.682747301962,cash,resort,4,"['gym', 'kids club', 'pool', 'gym']",23,May,2024-04-17,unforeseen circumstances,4.0,60,BEL,2,6.259209965482693,Monday,23:52:52,22:52:59,3459.7973260183953,0.0597088860725475,False,2024-05-04,-2.9372636505170426,moderate,13437.682747301962
2024-03-23,2024-04-10,2024-04-20,10,2,suite,individual,business,False,1.5579170424251454,['checkout'],cash,17664.357551873738,debit_card,motel,1,"['wifi', 'wifi']",18,April,,,,21,SOM,1,7.671640876687673,Wednesday,18:13:33,15:15:04,7573.474747117745,0.09493980649768025,False,2024-04-30,-6.4078880735494135,light,17664.357551873738
2024-04-04,2024-04-08,2024-04-14,6,3,single,group,business,False,15.762883896461101,['cancelled'],credit_card,11827.358250420419,credit_card,motel,3,"['wifi', 'wifi']",4,April,2024-04-11,change of plans,7.0,43,TKM,5,8.573138560219205,Monday,12:09:23,10:01:06,6168.1837485159895,0.026880535904984806,True,2024-05-14,46.23272151936928,none,11827.358250420419
